query,group,time,value
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T10:00:00.000Z,4672848
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T10:05:00.000Z,5064351
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T10:10:00.000Z,5189238
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T10:15:00.000Z,4679927
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T10:20:00.000Z,5011998
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T10:25:00.000Z,4903423
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T10:30:00.000Z,4710931
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T10:35:00.000Z,4946268
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T10:40:00.000Z,4628976
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T10:45:00.000Z,5601865
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T10:50:00.000Z,5008129
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T10:55:00.000Z,4881756
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T11:00:00.000Z,4378005
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T11:05:00.000Z,4146766
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T11:10:00.000Z,4357555
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T11:15:00.000Z,4464354
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T11:20:00.000Z,3719706
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T11:25:00.000Z,3919906
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T11:30:00.000Z,4323557
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T11:35:00.000Z,3842521
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T11:40:00.000Z,4300662
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T11:45:00.000Z,4124662
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T11:50:00.000Z,4239646
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T11:55:00.000Z,5305933
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T12:00:00.000Z,5512141
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T12:05:00.000Z,5331472
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T12:10:00.000Z,4605754
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T12:15:00.000Z,4973795
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T12:20:00.000Z,5423830
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T12:25:00.000Z,5333881
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T12:30:00.000Z,5637757
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T12:35:00.000Z,5082795
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T12:40:00.000Z,5108829
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T12:45:00.000Z,5280466
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T12:50:00.000Z,6253043
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T12:55:00.000Z,6271470
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T13:00:00.000Z,6730034
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T13:05:00.000Z,8027448
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T13:10:00.000Z,7617793
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T13:15:00.000Z,9155399
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T13:20:00.000Z,9922485
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T13:25:00.000Z,10521140
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T13:30:00.000Z,25145280
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T13:35:00.000Z,33843032
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T13:40:00.000Z,36634800
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T13:45:00.000Z,35531872
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T13:50:00.000Z,33627900
