query,group,time,value
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T16:10:00.000Z,17922810
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T16:15:00.000Z,21884700
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T16:20:00.000Z,17670740
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T16:25:00.000Z,20038520
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T16:30:00.000Z,22062510
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T16:35:00.000Z,20998800
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T16:40:00.000Z,21646940
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T16:45:00.000Z,18435190
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T16:50:00.000Z,18021790
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T16:55:00.000Z,25237570
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T17:00:00.000Z,17318810
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T17:05:00.000Z,15647070
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T17:10:00.000Z,16274800
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T17:15:00.000Z,15982440
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T17:20:00.000Z,18968210
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T17:25:00.000Z,19808680
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T17:30:00.000Z,17607200
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T17:35:00.000Z,19671080
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T17:40:00.000Z,21478590
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T17:45:00.000Z,21991630
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T17:50:00.000Z,19495440
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T17:55:00.000Z,22710340
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T18:00:00.000Z,18967860
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T18:05:00.000Z,15726230
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T18:10:00.000Z,37171100
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T18:15:00.000Z,14141330
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T18:20:00.000Z,9647425
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T18:25:00.000Z,8493024
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T18:30:00.000Z,8279017
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T18:35:00.000Z,6654894
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T18:40:00.000Z,5526761
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T18:45:00.000Z,5330593
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T18:50:00.000Z,4104157
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T18:55:00.000Z,3855160
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T19:00:00.000Z,3465558
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T19:05:00.000Z,3263900
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T19:10:00.000Z,3158179
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T19:15:00.000Z,2966923
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T19:20:00.000Z,2093439
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T19:25:00.000Z,1901091
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T19:30:00.000Z,1988011
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T19:35:00.000Z,1939770
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T19:40:00.000Z,1662312
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T19:45:00.000Z,1529912
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T19:50:00.000Z,1459364
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T19:55:00.000Z,1420971
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T20:00:00.000Z,1398396
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T20:05:00.000Z,904326
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T20:10:00.000Z,777303
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T20:15:00.000Z,758301
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T20:20:00.000Z,675763
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T20:25:00.000Z,634113
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T20:30:00.000Z,637648
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T20:35:00.000Z,657562
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T20:40:00.000Z,612575
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T20:45:00.000Z,487074
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T20:50:00.000Z,652952
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T20:55:00.000Z,441410
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T21:00:00.000Z,544543
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T21:05:00.000Z,483668
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T21:10:00.000Z,571795
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T21:15:00.000Z,411837
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T21:20:00.000Z,406058
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T21:25:00.000Z,382798
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T21:30:00.000Z,365849
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T21:35:00.000Z,379565
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T21:40:00.000Z,398904
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T21:45:00.000Z,399043
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T21:50:00.000Z,407550
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T21:55:00.000Z,363319
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T22:00:00.000Z,335165
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T22:05:00.000Z,359422
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T22:10:00.000Z,399529
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T22:15:00.000Z,401265
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T22:20:00.000Z,418550
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T22:25:00.000Z,389942
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T22:30:00.000Z,462040
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T22:35:00.000Z,477880
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T22:40:00.000Z,417121
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T22:45:00.000Z,446051
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T22:50:00.000Z,429800
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T22:55:00.000Z,418455
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T23:00:00.000Z,532713
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T23:05:00.000Z,473650
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T23:10:00.000Z,486062
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T23:15:00.000Z,625456
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T23:20:00.000Z,593566
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T23:25:00.000Z,722877
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T23:30:00.000Z,777953
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T23:35:00.000Z,756636
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T23:40:00.000Z,773563
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T23:45:00.000Z,912521
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T23:50:00.000Z,1142080
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-12T23:55:00.000Z,992559
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T00:00:00.000Z,1359199
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T00:05:00.000Z,1410452
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T00:10:00.000Z,1259562
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T00:15:00.000Z,1370742
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T00:20:00.000Z,1338831
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T00:25:00.000Z,1439331
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T00:30:00.000Z,1715292
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T00:35:00.000Z,1641224
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T00:40:00.000Z,1782500
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T00:45:00.000Z,1912333
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T00:50:00.000Z,1948123
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T00:55:00.000Z,2263661
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T01:00:00.000Z,2380173
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T01:05:00.000Z,2735811
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T01:10:00.000Z,2248476
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T01:15:00.000Z,2712823
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T01:20:00.000Z,2222391
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T01:25:00.000Z,2575063
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T01:30:00.000Z,2629251
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T01:35:00.000Z,2651219
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T01:40:00.000Z,2384685
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T01:45:00.000Z,2820438
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T01:50:00.000Z,2861914
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T01:55:00.000Z,3475667
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T02:00:00.000Z,2771245
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T02:05:00.000Z,2777475
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T02:10:00.000Z,3093691
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T02:15:00.000Z,2651023
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T02:20:00.000Z,2866772
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T02:25:00.000Z,2859921
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T02:30:00.000Z,2447557
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T02:35:00.000Z,2665593
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T02:40:00.000Z,2629640
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T02:45:00.000Z,2951864
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T02:50:00.000Z,2958355
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T02:55:00.000Z,2574781
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T03:00:00.000Z,2614716
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T03:05:00.000Z,2604135
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T03:10:00.000Z,2623376
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T03:15:00.000Z,2627149
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T03:20:00.000Z,2557522
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T03:25:00.000Z,2834825
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T03:30:00.000Z,2621969
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T03:35:00.000Z,2582275
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T03:40:00.000Z,2649881
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T03:45:00.000Z,2529822
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T03:50:00.000Z,2429590
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T03:55:00.000Z,2196651
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T04:00:00.000Z,2636846
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T04:05:00.000Z,2715969
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T04:10:00.000Z,2305237
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T04:15:00.000Z,2560921
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T04:20:00.000Z,2677454
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T04:25:00.000Z,2330235
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T04:30:00.000Z,2573114
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T04:35:00.000Z,2567095
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T04:40:00.000Z,2340035
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T04:45:00.000Z,2190579
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T04:50:00.000Z,2237601
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T04:55:00.000Z,2338726
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T05:00:00.000Z,2268620
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T05:05:00.000Z,2132123
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T05:10:00.000Z,2287538
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T05:15:00.000Z,2504818
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T05:20:00.000Z,2617768
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T05:25:00.000Z,2795333
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T05:30:00.000Z,2976867
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T05:35:00.000Z,2524250
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T05:40:00.000Z,2573737
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T05:45:00.000Z,2284598
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T05:50:00.000Z,2380589
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T05:55:00.000Z,2424178
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T06:00:00.000Z,2666425
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T06:05:00.000Z,3646847
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T06:10:00.000Z,3247235
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T06:15:00.000Z,3646706
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T06:20:00.000Z,2990619
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T06:25:00.000Z,2941154
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T06:30:00.000Z,3339452
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T06:35:00.000Z,3365886
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T06:40:00.000Z,3029486
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T06:45:00.000Z,3601818
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T06:50:00.000Z,3432214
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T06:55:00.000Z,4379315
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T07:00:00.000Z,5182921
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T07:05:00.000Z,5373663
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T07:10:00.000Z,4686977
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T07:15:00.000Z,4360275
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T07:20:00.000Z,5047415
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T07:25:00.000Z,4471365
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T07:30:00.000Z,4607256
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T07:35:00.000Z,4981651
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T07:40:00.000Z,4281778
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T07:45:00.000Z,5609380
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T07:50:00.000Z,4780179
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T07:55:00.000Z,4390298
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T08:00:00.000Z,4476891
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T08:05:00.000Z,4498095
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T08:10:00.000Z,4869846
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T08:15:00.000Z,4676015
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T08:20:00.000Z,5244484
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T08:25:00.000Z,5627533
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T08:30:00.000Z,5204993
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T08:35:00.000Z,5592427
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T08:40:00.000Z,4573160
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T08:45:00.000Z,4101512
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T08:50:00.000Z,4784342
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T08:55:00.000Z,5268206
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T09:00:00.000Z,5115331
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T09:05:00.000Z,5083285
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T09:10:00.000Z,5292116
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T09:15:00.000Z,4760020
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T09:20:00.000Z,4773199
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T09:25:00.000Z,4726187
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T09:30:00.000Z,4388260
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T09:35:00.000Z,3702111
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T09:40:00.000Z,4295935
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T09:45:00.000Z,3513866
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T09:50:00.000Z,4842244
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T09:55:00.000Z,4190059
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T10:00:00.000Z,4672848
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T10:05:00.000Z,5064351
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T10:10:00.000Z,5189238
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T10:15:00.000Z,4679927
"aws.applicationelb.request_count",environment:production;service:graphql,2021-04-13T10:20:00.000Z,5011998
